k,c_v
2,0.3255882254073465
3,0.34307281044359667
4,0.3326947982933752
5,0.3635519991881665
6,0.35547944966916717
7,0.37106326948163143
8,0.365048779326459
9,0.364501822844518
10,0.34566523662644955
11,0.3641761978159528
12,0.3502173073619666
13,0.3701569670753951
14,0.35136894918543693
15,0.35248057326144283
16,0.36496696997261296
17,0.3805192935670473
18,0.36052556287422205
19,0.3611935117500547
20,0.345918674899816
