document_id,year,family_size,citations
015-623-224-388-637,2023,1,18
025-810-259-455-947,2023,2,6
035-002-905-628-96X,2023,1,1
036-559-296-587-73X,2023,1,3
037-322-476-041-153,2023,1,34
043-132-865-450-989,2023,2,6
046-740-640-685-355,2023,1,9
055-710-494-053-083,2023,2,5
057-327-009-833-213,2023,2,1
064-003-346-596-186,2023,2,1
065-140-056-054-546,2023,2,5
065-970-900-643-315,2023,2,10
071-535-438-413-050,2023,1,2
073-624-357-834-504,2023,1,0
077-198-848-414-690,2023,2,1
090-741-483-960-009,2023,2,1
095-160-226-428-421,2023,1,4
104-690-025-880-588,2023,1,6
106-664-301-731-460,2023,2,5
116-777-139-237-766,2023,1,6
119-298-539-036-120,2023,3,7
123-898-044-969-643,2023,2,14
133-536-656-424-833,2023,2,8
137-430-264-507-488,2023,2,7
141-469-544-269-43X,2023,2,8
142-689-697-350-686,2023,1,7
142-949-397-964-852,2023,2,7
143-974-619-835-695,2023,1,7
152-251-853-630-943,2023,2,0
152-368-922-295-659,2023,2,5
153-636-882-105-850,2023,2,2
162-563-831-648-611,2023,2,4
172-119-276-107-411,2023,1,1
183-355-360-102-529,2023,1,7
186-091-620-440-827,2023,2,5
194-248-354-752-344,2023,1,5
197-827-630-165-548,2023,2,3
199-134-413-844-078,2023,1,37
003-406-957-622-965,2024,1,0
003-681-249-214-289,2024,1,0
004-828-883-287-119,2024,1,3
004-865-174-224-476,2024,2,2
005-589-712-255-797,2024,1,0
005-825-271-847-114,2024,1,1
007-425-989-294-467,2024,1,2
008-006-094-609-19X,2024,1,2
010-294-831-692-554,2024,2,3
011-110-805-769-084,2024,1,1
012-074-666-130-424,2024,1,0
012-211-627-114-470,2024,1,6
012-879-794-929-52X,2024,1,3
013-008-747-488-226,2024,1,0
015-643-390-145-372,2024,1,0
015-940-121-856-61X,2024,1,0
016-356-174-612-946,2024,2,0
017-080-880-664-868,2024,1,0
017-587-566-833-910,2024,1,2
018-118-196-690-805,2024,1,5
020-078-126-242-124,2024,1,0
020-102-125-690-74X,2024,2,8
020-905-907-427-056,2024,1,0
021-092-791-601-42X,2024,1,1
021-896-886-282-998,2024,1,2
022-113-735-494-371,2024,2,0
023-133-809-093-517,2024,2,3
024-944-591-507-662,2024,1,2
026-275-201-598-456,2024,1,1
026-420-071-632-756,2024,1,2
028-204-903-173-588,2024,1,1
028-333-533-152-165,2024,1,1
029-018-442-120-930,2024,1,5
029-437-757-613-728,2024,2,5
029-751-490-108-233,2024,1,1
030-381-340-509-963,2024,1,1
031-414-724-011-982,2024,1,2
032-131-796-774-643,2024,4,0
032-265-855-933-725,2024,1,4
032-543-193-076-484,2024,2,2
032-661-641-288-868,2024,1,0
035-486-751-587-213,2024,1,2
035-953-846-512-96X,2024,1,5
036-307-804-096-515,2024,2,18
037-267-540-793-60X,2024,2,1
038-545-226-197-977,2024,1,0
039-109-495-405-354,2024,1,1
041-693-175-868-074,2024,1,1
043-648-980-013-116,2024,2,1
045-102-012-201-37X,2024,1,3
045-121-741-989-455,2024,4,4
046-493-764-475-135,2024,1,1
046-633-540-269-035,2024,1,2
048-067-160-216-555,2024,2,1
049-330-898-225-492,2024,1,2
049-780-994-168-289,2024,1,4
050-202-663-668-36X,2024,1,1
051-406-523-424-823,2024,1,0
051-591-966-256-950,2024,2,3
052-252-001-317-518,2024,1,3
053-768-936-297-018,2024,1,0
054-247-487-048-296,2024,1,0
054-429-752-424-756,2024,1,6
056-984-576-480-93X,2024,1,1
057-235-380-061-600,2024,1,0
057-686-394-354-343,2024,1,7
058-303-597-153-838,2024,1,3
059-248-653-710-094,2024,2,0
060-429-879-677-854,2024,1,2
060-745-534-047-579,2024,1,1
060-809-286-670-90X,2024,1,1
061-076-283-237-685,2024,1,15
061-384-261-517-584,2024,2,1
061-429-472-570-146,2024,1,3
062-423-964-458-037,2024,1,0
062-577-898-038-406,2024,1,0
063-023-858-321-057,2024,2,1
063-957-135-223-401,2024,1,4
064-453-839-072-469,2024,1,0
064-938-228-967-445,2024,1,8
066-700-985-470-033,2024,1,31
066-852-395-365-869,2024,1,1
067-484-587-016-575,2024,2,3
068-448-046-515-329,2024,1,0
068-595-034-233-666,2024,1,3
068-928-216-259-325,2024,1,4
070-083-547-411-491,2024,1,0
071-583-997-716-011,2024,1,4
072-007-649-995-844,2024,1,10
072-425-863-543-98X,2024,1,1
072-661-225-825-506,2024,2,2
073-560-218-321-506,2024,1,6
073-896-400-368-051,2024,1,1
075-278-721-039-173,2024,1,0
075-804-017-553-336,2024,1,1
076-105-465-904-885,2024,1,4
076-796-195-413-933,2024,1,5
078-502-731-538-155,2024,1,0
078-590-872-452-200,2024,3,4
079-058-333-514-383,2024,1,1
079-387-443-429-267,2024,2,5
083-059-323-510-759,2024,1,0
084-492-757-773-613,2024,1,3
085-229-221-775-889,2024,1,1
086-095-177-894-818,2024,1,0
086-718-514-668-482,2024,1,25
087-620-236-520-381,2024,1,3
088-788-993-508-406,2024,2,3
088-915-807-286-918,2024,2,15
088-963-015-226-673,2024,2,8
089-455-846-557-09X,2024,1,17
089-847-728-835-979,2024,1,4
090-740-415-190-212,2024,2,24
092-060-630-209-741,2024,1,0
092-257-758-105-596,2024,1,0
092-618-787-941-957,2024,1,4
093-583-888-000-426,2024,1,0
094-269-078-986-255,2024,1,4
096-661-565-028-504,2024,2,4
097-201-304-620-111,2024,1,1
097-688-032-751-050,2024,1,3
097-967-320-052-408,2024,1,1
098-978-331-602-655,2024,2,2
099-448-282-924-241,2024,2,4
100-065-110-040-656,2024,1,3
100-555-324-801-440,2024,1,1
100-557-290-096-358,2024,1,2
100-885-116-395-662,2024,1,4
101-448-535-652-660,2024,1,2
102-937-113-815-443,2024,1,0
104-018-423-968-168,2024,2,1
104-606-962-909-133,2024,1,3
104-939-816-601-646,2024,1,8
106-939-166-358-500,2024,2,0
108-976-975-323-602,2024,1,3
109-777-467-131-641,2024,2,1
109-967-767-668-456,2024,1,5
110-489-561-824-89X,2024,1,1
111-422-149-275-139,2024,1,3
111-742-429-935-536,2024,1,0
113-863-687-449-50X,2024,1,6
114-611-399-920-446,2024,1,0
114-994-291-222-890,2024,1,2
115-636-059-235-01X,2024,1,0
116-564-308-792-447,2024,1,1
117-861-614-117-228,2024,2,4
118-019-021-610-422,2024,1,1
118-757-474-265-961,2024,2,1
118-899-085-033-255,2024,1,6
119-153-801-226-345,2024,1,1
119-736-466-489-192,2024,1,2
120-131-563-014-985,2024,1,0
120-856-966-736-059,2024,1,0
121-350-082-650-557,2024,1,1
122-563-946-415-323,2024,2,1
125-015-695-385-386,2024,1,2
125-481-170-120-519,2024,1,1
125-987-455-083-828,2024,1,8
126-150-267-552-668,2024,1,15
126-438-193-852-15X,2024,1,1
127-138-836-250-323,2024,2,4
128-241-464-059-289,2024,1,1
129-843-419-078-784,2024,1,2
130-460-248-234-961,2024,1,0
131-445-282-048-573,2024,2,3
132-139-566-584-846,2024,1,1
132-840-959-332-426,2024,1,1
132-876-855-787-156,2024,1,3
134-739-526-512-68X,2024,1,0
135-108-379-379-30X,2024,2,1
135-318-098-121-041,2024,2,0
135-695-991-327-353,2024,1,1
136-947-304-895-733,2024,2,4
139-168-634-693-153,2024,1,1
142-176-853-465-503,2024,1,2
143-058-850-897-123,2024,1,0
144-183-371-330-006,2024,1,0
146-270-233-163-228,2024,1,0
146-942-363-867-484,2024,1,0
147-883-007-927-865,2024,2,7
148-575-348-914-888,2024,1,8
149-444-764-511-769,2024,1,0
151-429-807-365-412,2024,2,0
152-427-530-461-563,2024,1,9
153-606-726-519-317,2024,1,19
153-865-458-650-429,2024,1,1
155-051-610-541-535,2024,2,0
155-471-067-769-095,2024,1,2
156-518-572-970-947,2024,1,8
158-145-572-156-009,2024,1,0
159-258-114-873-948,2024,1,0
159-322-643-199-446,2024,1,3
159-532-847-970-744,2024,2,0
159-538-033-747-153,2024,1,0
159-807-801-011-417,2024,2,1
162-579-901-812-517,2024,1,0
163-768-391-178-50X,2024,1,1
164-203-666-680-290,2024,1,2
164-316-506-551-618,2024,1,8
164-591-204-192-142,2024,2,4
164-664-995-225-776,2024,1,0
164-920-151-673-632,2024,1,0
165-207-921-982-136,2024,1,0
166-141-141-297-872,2024,2,0
167-019-925-502-878,2024,1,2
167-183-995-065-743,2024,1,0
167-404-209-270-042,2024,2,0
167-639-762-866-833,2024,2,4
168-010-567-757-904,2024,2,0
168-056-426-806-331,2024,1,1
168-057-550-785-392,2024,1,5
168-194-997-810-380,2024,1,2
168-704-118-474-753,2024,1,4
169-166-605-224-664,2024,1,0
169-593-077-403-98X,2024,1,6
170-638-579-986-646,2024,1,5
170-847-389-492-566,2024,1,4
171-566-895-845-77X,2024,1,3
171-651-284-267-33X,2024,1,3
173-538-978-380-220,2024,1,4
173-857-792-385-531,2024,1,1
174-082-242-560-388,2024,2,1
174-302-176-927-488,2024,2,9
175-778-264-578-441,2024,1,0
175-796-604-698-028,2024,1,7
175-898-932-045-840,2024,1,4
176-263-605-876-089,2024,1,5
176-333-465-628-913,2024,1,0
177-774-142-471-544,2024,2,5
177-952-625-550-166,2024,1,1
178-614-526-021-626,2024,2,0
179-619-069-114-024,2024,1,1
180-513-102-132-452,2024,2,0
181-022-647-959-716,2024,1,1
181-996-402-484-826,2024,1,0
183-283-000-815-920,2024,1,1
185-113-496-259-040,2024,1,3
185-820-627-412-184,2024,1,3
185-863-230-507-45X,2024,1,1
186-302-729-983-62X,2024,1,0
186-600-709-013-824,2024,1,0
188-783-773-148-915,2024,2,3
189-670-981-298-980,2024,1,0
189-721-738-556-414,2024,1,0
190-590-087-679-776,2024,1,0
190-708-526-355-644,2024,1,4
191-387-063-384-116,2024,1,1
191-970-866-761-913,2024,1,0
192-789-171-741-326,2024,1,0
193-858-676-944-500,2024,1,2
194-447-463-866-756,2024,1,0
195-393-690-669-643,2024,2,1
196-050-050-370-450,2024,1,2
197-663-334-031-985,2024,1,6
199-264-084-375-148,2024,1,9
199-401-075-444-752,2024,1,3
001-823-941-789-546,2025,1,0
002-308-060-249-136,2025,1,0
002-430-451-542-080,2025,1,0
002-614-960-639-143,2025,1,0
003-156-107-887-140,2025,1,1
003-282-018-888-94X,2025,1,0
004-263-900-785-799,2025,1,0
006-798-415-446-498,2025,1,0
008-286-676-124-941,2025,1,0
010-457-646-831-528,2025,1,4
010-965-603-993-86X,2025,1,0
011-530-512-576-036,2025,1,1
012-225-348-437-362,2025,1,0
014-158-280-761-945,2025,1,0
015-264-570-206-320,2025,1,0
015-285-958-171-155,2025,1,0
015-404-093-110-925,2025,1,0
016-177-785-522-591,2025,2,0
016-406-000-062-588,2025,1,3
016-819-842-590-999,2025,2,0
019-654-218-944-390,2025,1,0
019-792-842-628-389,2025,1,0
020-758-952-476-810,2025,1,0
021-668-628-622-457,2025,1,0
023-896-838-477-515,2025,1,0
025-273-641-825-848,2025,2,2
025-373-956-795-83X,2025,1,0
025-813-449-108-245,2025,1,0
026-283-089-093-123,2025,3,1
026-788-729-861-826,2025,1,0
027-151-992-574-056,2025,1,0
028-240-313-776-686,2025,1,1
028-897-714-292-793,2025,1,0
029-242-675-402-492,2025,1,1
029-599-547-836-378,2025,1,0
030-371-560-756-967,2025,2,0
031-355-807-989-348,2025,2,0
032-993-398-011-228,2025,1,0
033-516-994-305-040,2025,1,0
033-948-785-345-846,2025,1,0
034-022-905-947-92X,2025,1,0
034-148-101-016-728,2025,1,0
035-199-468-725-279,2025,1,0
035-822-352-249-786,2025,1,0
036-424-452-235-755,2025,1,0
036-746-885-905-04X,2025,1,0
037-371-652-235-514,2025,2,1
037-869-337-706-759,2025,5,0
040-239-724-492-22X,2025,1,0
041-266-733-584-126,2025,1,0
042-655-541-132-067,2025,1,0
043-821-486-925-01X,2025,1,0
043-996-680-046-662,2025,2,0
046-110-206-010-121,2025,1,0
046-600-515-469-958,2025,2,0
047-835-584-228-587,2025,4,0
047-950-067-800-702,2025,1,0
048-221-850-990-794,2025,1,0
048-410-784-468-457,2025,1,4
048-727-517-276-19X,2025,2,0
049-153-347-515-683,2025,1,0
049-280-459-203-563,2025,2,1
049-935-906-799-018,2025,2,0
051-333-510-320-692,2025,1,0
051-462-211-930-90X,2025,1,1
052-657-620-690-106,2025,1,1
055-561-627-121-38X,2025,1,0
056-054-088-470-23X,2025,1,0
056-719-308-507-561,2025,1,1
058-591-564-957-169,2025,2,0
058-678-483-498-708,2025,1,1
059-400-717-419-567,2025,1,0
060-982-230-712-778,2025,1,0
061-804-037-829-530,2025,2,1
064-820-300-798-524,2025,2,0
066-105-939-819-066,2025,2,0
066-589-493-452-135,2025,1,0
067-138-377-808-740,2025,3,0
068-427-328-756-005,2025,1,0
068-914-894-102-303,2025,1,1
069-019-310-087-919,2025,1,0
070-946-591-385-818,2025,1,1
072-656-263-835-952,2025,1,2
072-710-598-124-153,2025,1,0
073-703-425-825-526,2025,1,2
075-587-700-261-17X,2025,1,0
076-673-409-904-296,2025,1,0
077-573-184-605-25X,2025,1,0
077-876-770-201-889,2025,1,0
078-660-244-227-45X,2025,2,0
079-107-896-385-050,2025,1,0
080-899-726-747-77X,2025,1,0
081-690-351-905-901,2025,1,0
083-764-690-071-253,2025,1,0
083-819-478-209-011,2025,2,0
084-976-714-096-764,2025,2,1
085-338-570-725-823,2025,1,0
085-810-592-513-510,2025,2,0
086-284-721-937-213,2025,1,0
087-171-283-259-074,2025,1,1
087-418-419-620-431,2025,1,0
087-692-362-824-813,2025,1,1
087-876-414-842-957,2025,2,0
088-076-254-558-80X,2025,1,0
088-292-716-152-991,2025,2,0
088-999-520-091-233,2025,2,2
090-647-268-608-095,2025,1,0
091-699-194-846-373,2025,2,0
092-950-804-134-474,2025,1,0
094-589-629-128-787,2025,1,2
094-750-792-092-364,2025,1,1
096-876-879-083-491,2025,3,0
096-897-026-030-155,2025,1,0
098-389-311-960-038,2025,1,0
098-424-857-440-481,2025,1,1
098-445-160-903-24X,2025,1,2
098-875-514-987-154,2025,2,0
099-292-674-917-165,2025,1,1
099-504-026-640-681,2025,1,1
101-354-157-329-841,2025,1,0
102-738-823-539-613,2025,1,0
104-516-689-594-273,2025,2,0
105-160-792-971-868,2025,1,0
107-683-465-922-925,2025,2,0
107-719-343-018-710,2025,1,0
108-227-089-760-404,2025,1,0
109-251-285-997-595,2025,1,0
110-031-665-329-223,2025,1,0
110-098-584-423-396,2025,1,1
110-600-468-065-991,2025,1,0
110-863-258-884-790,2025,1,0
112-280-241-533-239,2025,1,0
114-053-000-259-470,2025,2,0
116-146-636-563-414,2025,1,0
117-226-153-655-476,2025,1,0
118-014-296-949-406,2025,1,0
118-111-372-215-506,2025,1,0
118-705-680-282-661,2025,1,0
119-562-074-412-148,2025,2,0
125-537-453-309-40X,2025,1,0
126-283-927-563-477,2025,1,0
126-869-136-204-097,2025,1,0
127-204-135-271-845,2025,1,0
127-620-367-908-908,2025,1,1
134-145-491-655-112,2025,2,0
134-475-156-470-470,2025,1,0
136-534-842-470-673,2025,1,0
137-431-903-308-683,2025,1,0
137-645-468-527-657,2025,1,0
141-765-305-124-555,2025,1,0
142-330-789-703-097,2025,1,0
142-766-491-544-908,2025,2,0
142-932-570-645-345,2025,1,0
144-873-949-314-917,2025,1,0
144-929-329-075-329,2025,3,5
145-942-154-568-713,2025,1,0
146-055-644-474-248,2025,1,0
146-195-960-567-184,2025,1,2
149-510-012-651-016,2025,1,0
152-232-380-821-163,2025,1,1
153-557-356-170-34X,2025,1,0
153-890-220-018-962,2025,2,0
154-050-235-218-443,2025,1,0
155-814-818-292-710,2025,1,1
156-238-696-048-739,2025,1,0
157-023-094-667-741,2025,3,1
157-797-090-457-500,2025,1,1
157-913-558-308-005,2025,1,0
160-292-977-742-446,2025,1,0
160-701-145-581-998,2025,1,0
161-930-517-763-131,2025,1,0
162-092-158-621-081,2025,1,0
163-855-119-663-341,2025,1,1
164-869-061-473-361,2025,1,0
165-183-963-719-527,2025,1,0
167-560-684-742-533,2025,1,0
167-844-427-377-023,2025,1,0
168-554-405-121-431,2025,1,1
168-944-537-713-774,2025,1,0
169-725-881-035-032,2025,1,0
169-726-596-476-423,2025,1,1
170-523-626-828-609,2025,1,1
171-188-554-247-055,2025,1,0
171-459-493-115-201,2025,1,0
171-580-793-515-391,2025,2,0
172-277-005-248-515,2025,1,0
173-536-407-359-496,2025,2,0
173-800-935-842-916,2025,1,0
175-312-399-733-328,2025,1,0
178-248-945-688-655,2025,2,0
179-028-743-385-850,2025,1,0
179-111-690-811-701,2025,1,1
179-693-250-315-424,2025,2,0
180-439-170-110-025,2025,1,2
180-460-361-282-918,2025,1,2
181-104-783-484-945,2025,1,1
182-249-956-850-899,2025,2,0
182-581-548-893-675,2025,1,0
183-188-131-577-111,2025,1,1
183-976-564-134-903,2025,1,0
185-152-541-710-470,2025,1,3
185-765-511-832-970,2025,1,0
186-118-507-498-661,2025,1,0
186-376-309-197-747,2025,1,0
186-550-236-991-704,2025,3,2
186-803-404-885-322,2025,1,0
187-257-340-488-811,2025,1,0
187-376-354-755-302,2025,1,14
187-426-719-314-116,2025,1,0
188-622-024-925-695,2025,2,0
188-832-379-678-123,2025,1,0
189-055-073-185-732,2025,1,0
190-086-044-769-226,2025,1,0
193-666-531-673-15X,2025,1,0
194-372-391-763-307,2025,1,0
195-503-695-284-982,2025,1,0
196-085-433-126-279,2025,1,0
196-167-290-788-628,2025,1,0
197-541-770-303-267,2025,1,0
198-771-070-480-561,2025,1,0
198-919-606-499-470,2025,1,0
