document_id,year,family_size,citations
086-848-944-396-507,2023,2,0
159-075-096-031-162,2023,1,28
000-374-798-310-952,2024,1,1
000-974-651-915-841,2024,1,4
001-777-389-593-106,2024,1,1
004-131-263-116-984,2024,1,4
005-707-710-965-001,2024,1,2
008-663-343-850-380,2024,1,0
013-489-777-115-973,2024,1,1
014-466-571-198-499,2024,1,5
015-117-006-847-098,2024,2,1
019-731-681-874-677,2024,1,1
035-299-409-924-620,2024,1,0
040-019-159-136-761,2024,1,2
040-103-929-874-51X,2024,1,1
046-114-320-385-865,2024,1,2
048-024-531-140-220,2024,2,7
054-979-419-409-436,2024,2,0
055-208-730-979-774,2024,2,0
055-351-614-058-195,2024,3,2
057-345-181-612-497,2024,2,0
061-321-115-155-601,2024,1,0
066-777-264-055-687,2024,1,3
067-354-102-237-13X,2024,1,0
070-606-707-106-93X,2024,2,3
072-119-025-600-935,2024,1,0
076-853-428-880-267,2024,1,5
081-599-866-239-744,2024,2,0
081-734-786-015-256,2024,2,0
084-647-524-099-457,2024,1,1
085-603-090-358-862,2024,1,1
086-536-161-350-032,2024,2,1
086-699-781-493-970,2024,1,3
092-091-956-320-978,2024,1,0
094-188-865-373-461,2024,1,1
096-925-925-459-735,2024,2,1
099-819-133-804-406,2024,1,1
100-228-516-176-389,2024,2,0
104-618-790-729-715,2024,1,4
105-014-579-178-267,2024,2,3
107-204-010-424-398,2024,2,2
107-795-090-046-573,2024,2,0
107-884-361-313-835,2024,1,0
113-310-596-897-163,2024,2,1
118-316-166-228-508,2024,1,1
118-436-039-374-998,2024,2,7
118-822-520-977-977,2024,3,7
120-813-754-751-230,2024,2,1
124-949-123-624-380,2024,1,1
126-110-143-011-492,2024,2,3
126-440-638-718-985,2024,2,1
128-432-377-049-658,2024,2,2
128-718-487-598-686,2024,1,1
129-530-090-980-694,2024,2,1
132-477-779-404-433,2024,1,0
133-069-466-595-543,2024,1,1
134-703-913-701-961,2024,2,0
139-769-095-931-688,2024,1,0
140-666-836-798-225,2024,1,3
143-601-644-084-262,2024,2,5
144-526-964-635-392,2024,2,4
146-492-283-400-854,2024,1,0
159-824-970-156-46X,2024,2,1
164-251-809-798-365,2024,2,0
165-561-490-614-033,2024,1,0
168-224-208-486-106,2024,2,5
172-801-857-505-436,2024,1,1
173-559-278-313-580,2024,1,0
177-828-119-524-629,2024,2,2
188-323-726-420-616,2024,3,3
191-850-960-273-688,2024,1,1
194-106-023-295-122,2024,1,0
003-429-967-467-972,2025,2,0
003-491-671-578-435,2025,1,0
005-773-899-455-050,2025,1,0
006-880-663-423-159,2025,1,0
010-242-031-533-825,2025,2,0
010-659-406-545-747,2025,1,0
011-887-560-000-666,2025,1,0
013-904-314-750-255,2025,1,0
014-531-395-891-486,2025,1,0
015-669-386-935-06X,2025,2,0
019-003-467-454-721,2025,1,0
019-690-874-797-454,2025,2,0
020-731-769-363-404,2025,1,1
023-339-912-634-493,2025,2,0
023-862-584-866-194,2025,2,0
024-627-392-431-627,2025,1,0
025-002-743-576-227,2025,2,0
026-302-759-198-84X,2025,2,0
031-084-504-099-039,2025,1,0
034-772-795-343-422,2025,1,0
035-507-357-135-315,2025,1,0
036-267-791-960-592,2025,1,0
037-750-411-046-843,2025,1,3
040-176-257-653-817,2025,1,0
040-746-622-998-015,2025,2,1
042-589-661-390-527,2025,2,0
045-390-462-119-882,2025,1,2
046-262-621-840-627,2025,2,0
047-470-642-917-26X,2025,1,0
048-069-223-871-573,2025,1,0
048-211-527-103-930,2025,1,0
048-705-018-900-720,2025,2,0
053-812-288-816-910,2025,3,0
057-029-055-562-80X,2025,2,0
058-381-267-531-289,2025,1,0
063-417-396-513-223,2025,1,0
065-082-579-427-88X,2025,1,0
066-788-567-971-360,2025,1,0
068-165-420-516-031,2025,1,0
069-247-706-893-882,2025,1,0
072-653-157-269-690,2025,1,0
073-325-084-172-831,2025,2,0
076-511-295-546-782,2025,1,0
076-762-604-273-252,2025,2,0
076-763-458-321-117,2025,1,0
077-858-702-020-155,2025,1,0
080-973-587-941-793,2025,1,0
081-296-376-696-186,2025,1,1
081-319-939-066-567,2025,1,0
083-617-306-492-396,2025,2,0
086-412-102-218-491,2025,2,0
087-166-708-634-09X,2025,1,0
087-810-305-114-254,2025,2,0
087-910-524-244-823,2025,1,0
089-493-707-550-493,2025,1,0
090-762-618-020-595,2025,1,0
091-927-602-151-290,2025,1,0
091-958-918-067-767,2025,1,0
092-998-816-074-942,2025,1,0
097-337-681-735-814,2025,2,0
097-823-494-085-442,2025,1,0
098-306-860-684-535,2025,1,0
101-672-389-879-117,2025,1,0
104-816-867-351-122,2025,2,0
106-502-929-652-096,2025,1,0
106-600-799-041-578,2025,3,0
108-379-764-592-698,2025,1,0
108-382-448-739-480,2025,2,1
108-942-372-492-217,2025,2,0
109-271-621-471-655,2025,5,0
109-367-596-884-402,2025,1,0
110-723-391-600-537,2025,1,0
111-146-835-495-694,2025,1,3
117-085-826-649-454,2025,1,0
119-035-495-270-200,2025,2,0
120-176-071-368-153,2025,1,1
121-587-723-567-741,2025,2,0
122-819-343-972-522,2025,1,0
123-689-262-613-919,2025,2,0
124-672-978-864-743,2025,1,0
125-904-296-352-966,2025,1,0
125-990-092-804-207,2025,1,2
126-265-032-879-287,2025,1,0
127-609-693-703-855,2025,1,0
129-000-342-184-793,2025,2,0
135-711-886-360-247,2025,1,0
136-986-990-124-382,2025,1,0
138-159-693-334-432,2025,1,1
140-032-230-215-211,2025,2,0
140-239-810-023-900,2025,1,1
140-932-225-222-314,2025,1,0
144-739-491-254-918,2025,1,0
146-323-130-757-441,2025,2,1
147-381-606-820-672,2025,1,0
150-846-500-453-531,2025,2,0
151-362-127-754-947,2025,1,0
151-475-669-888-799,2025,1,0
154-840-338-464-82X,2025,1,0
159-362-672-887-957,2025,1,0
162-056-131-969-215,2025,1,0
163-376-674-579-589,2025,2,1
164-931-232-943-773,2025,3,1
167-579-975-733-549,2025,1,0
172-124-423-332-288,2025,2,0
175-590-162-859-619,2025,1,0
177-263-342-812-636,2025,1,0
182-041-641-750-401,2025,1,0
182-365-164-264-320,2025,2,0
182-378-100-810-225,2025,2,0
185-545-151-742-634,2025,1,0
191-739-062-144-328,2025,1,0
194-839-898-813-285,2025,1,0
195-550-058-505-377,2025,1,0
199-490-015-832-419,2025,2,0
