document_id,year,family_size,citations
127-846-306-784-827,2013,13,24
057-359-802-310-57X,2014,9,5
062-192-617-322-930,2014,9,10
003-443-001-934-30X,2023,1,4
011-157-831-807-011,2023,1,10
019-028-740-450-23X,2023,1,1
019-351-159-756-18X,2023,1,2
024-976-196-448-873,2023,2,2
027-712-361-295-20X,2023,1,0
032-081-419-365-948,2023,1,6
036-501-753-306-955,2023,1,3
043-848-848-053-731,2023,1,0
044-589-980-607-183,2023,1,2
056-610-828-267-355,2023,2,2
072-015-801-854-81X,2023,1,6
086-575-824-155-337,2023,1,2
088-907-459-879-441,2023,1,9
095-215-290-808-758,2023,1,2
114-496-518-300-602,2023,1,2
114-918-897-178-500,2023,2,3
115-245-837-923-073,2023,1,3
127-043-016-393-925,2023,1,0
128-618-414-497-026,2023,1,1
134-083-738-972-312,2023,1,1
138-844-244-998-298,2023,1,2
142-357-213-358-93X,2023,2,3
144-091-817-997-908,2023,2,5
145-123-688-525-962,2023,1,5
147-514-038-956-454,2023,1,0
150-057-190-534-958,2023,2,0
155-323-851-124-421,2023,1,0
164-378-138-747-409,2023,1,1
165-450-456-801-087,2023,2,0
171-796-013-794-266,2023,1,1
173-047-347-470-75X,2023,1,3
184-094-621-826-407,2023,1,7
188-812-759-761-254,2023,1,6
195-969-327-428-57X,2023,1,0
196-432-841-446-187,2023,1,3
000-140-617-801-022,2024,1,0
001-001-868-193-769,2024,1,0
001-415-325-188-12X,2024,1,0
001-746-986-308-498,2024,2,0
003-073-816-620-752,2024,1,0
005-201-836-431-47X,2024,1,1
006-432-506-972-227,2024,1,1
008-688-868-079-067,2024,1,0
009-543-614-888-613,2024,1,0
011-290-881-335-545,2024,1,1
011-347-478-377-002,2024,1,2
013-543-985-422-980,2024,1,0
014-068-245-600-290,2024,1,0
014-494-772-006-594,2024,1,1
015-966-239-199-614,2024,1,1
016-010-004-468-234,2024,1,1
016-523-756-057-212,2024,2,0
017-444-858-784-710,2024,1,1
018-248-932-044-752,2024,1,0
020-993-248-920-578,2024,1,4
021-027-976-666-990,2024,1,0
021-198-297-376-883,2024,1,0
022-667-673-916-085,2024,1,2
023-988-699-123-001,2024,1,1
024-405-914-553-928,2024,2,0
024-585-201-402-522,2024,1,1
027-268-923-849-350,2024,1,2
028-778-304-775-66X,2024,1,0
033-283-731-667-31X,2024,1,1
033-318-464-952-454,2024,2,8
