document_id,year,family_size,citations
132-983-261-929-202,2014,3,2
175-858-758-679-066,2017,9,6
003-545-090-734-381,2023,1,2
009-147-775-464-42X,2023,10,0
020-571-155-598-727,2023,1,12
087-498-857-749-190,2023,2,0
126-423-026-910-832,2023,1,4
141-578-480-128-074,2023,2,0
144-071-204-726-066,2023,1,1
151-212-163-606-227,2023,1,1
175-344-216-024-593,2023,1,2
008-110-700-233-816,2024,2,1
012-310-243-562-155,2024,1,0
014-456-704-817-208,2024,1,0
018-698-703-138-534,2024,1,3
024-696-259-384-365,2024,2,0
026-538-510-255-299,2024,1,1
031-197-367-096-931,2024,1,4
031-674-457-449-111,2024,1,2
038-217-654-273-486,2024,1,4
040-349-138-678-90X,2024,2,1
043-654-747-614-24X,2024,2,1
043-732-424-946-064,2024,2,3
044-173-811-913-498,2024,1,2
044-376-320-371-559,2024,1,1
044-754-665-775-810,2024,1,0
045-424-299-418-251,2024,1,1
048-966-927-901-267,2024,1,1
052-221-729-866-016,2024,1,1
067-354-464-239-642,2024,1,0
069-050-219-329-097,2024,3,1
069-673-939-264-990,2024,2,3
073-842-075-146-119,2024,1,0
075-368-578-156-498,2024,2,2
075-937-438-614-220,2024,1,0
076-051-969-360-374,2024,1,2
080-483-787-503-382,2024,1,1
088-744-940-418-963,2024,2,1
089-305-963-560-518,2024,2,1
092-090-289-904-456,2024,2,0
092-681-311-103-538,2024,1,0
097-083-817-940-853,2024,1,1
100-753-382-325-646,2024,1,0
102-039-233-864-632,2024,2,0
103-644-900-532-570,2024,1,0
111-013-937-009-977,2024,2,2
113-821-709-190-346,2024,2,0
117-614-693-122-798,2024,2,1
118-088-059-636-387,2024,2,3
126-131-831-637-985,2024,1,1
126-198-191-618-060,2024,1,0
130-198-576-185-31X,2024,1,0
130-983-210-316-606,2024,1,1
131-760-123-521-554,2024,1,0
132-717-554-095-190,2024,2,4
138-119-198-326-99X,2024,2,9
139-517-470-411-916,2024,2,4
141-293-381-732-605,2024,1,1
141-984-606-708-378,2024,1,0
142-050-094-805-779,2024,1,0
143-756-651-121-638,2024,1,2
146-671-560-591-614,2024,2,2
146-815-468-035-885,2024,3,0
151-559-399-933-614,2024,1,0
156-774-288-415-025,2024,2,2
157-365-744-755-285,2024,1,0
163-258-123-039-634,2024,1,0
163-322-977-030-004,2024,3,0
163-710-534-248-359,2024,1,0
167-395-719-741-973,2024,1,0
168-050-832-783-561,2024,2,0
173-301-062-143-844,2024,2,2
179-365-220-034-477,2024,1,0
186-009-818-532-449,2024,1,0
189-318-491-116-811,2024,2,10
189-880-777-822-680,2024,2,0
190-448-862-479-832,2024,2,4
194-623-351-518-415,2024,1,0
196-488-926-766-57X,2024,1,0
002-163-808-543-85X,2025,3,0
006-554-990-319-435,2025,2,0
008-358-710-858-384,2025,1,0
014-584-455-972-368,2025,1,0
014-774-177-489-76X,2025,1,0
014-880-386-327-344,2025,1,0
018-610-738-086-86X,2025,1,1
023-844-942-048-791,2025,1,0
025-307-023-936-631,2025,1,0
028-571-848-549-38X,2025,1,0
030-567-709-150-088,2025,1,0
032-968-282-724-096,2025,2,2
037-338-980-814-879,2025,1,0
038-307-196-687-815,2025,2,0
038-672-845-907-204,2025,1,0
042-002-400-777-170,2025,2,0
044-947-653-012-577,2025,1,0
047-056-900-719-538,2025,2,0
052-230-382-975-719,2025,2,0
052-696-351-671-522,2025,2,0
055-789-666-168-86X,2025,1,1
060-423-718-393-44X,2025,1,0
063-887-826-656-889,2025,1,0
064-368-163-705-281,2025,2,2
067-204-087-525-809,2025,1,0
067-239-110-232-001,2025,1,0
067-684-552-038-287,2025,1,0
067-908-997-726-883,2025,1,0
070-493-310-282-152,2025,2,0
075-598-517-588-573,2025,1,2
077-518-939-977-835,2025,1,2
081-760-771-534-722,2025,3,0
083-117-738-505-380,2025,1,0
085-999-555-254-232,2025,1,0
087-851-468-970-259,2025,1,1
088-557-935-705-892,2025,2,1
088-747-277-162-933,2025,1,0
088-985-117-685-472,2025,1,1
093-953-125-225-526,2025,1,0
094-516-281-872-179,2025,1,0
097-651-882-833-985,2025,1,0
097-935-347-293-459,2025,1,0
098-935-959-558-717,2025,5,2
100-700-543-888-337,2025,2,0
100-786-357-803-424,2025,1,0
101-470-525-001-646,2025,1,1
108-010-258-566-69X,2025,1,1
109-260-962-398-042,2025,1,0
114-652-450-074-179,2025,1,0
114-731-655-359-923,2025,1,0
114-927-089-881-083,2025,1,0
115-703-397-277-033,2025,2,0
119-745-406-631-657,2025,1,0
124-731-047-353-555,2025,5,0
125-185-144-659-581,2025,1,0
125-817-443-350-413,2025,1,0
133-553-953-390-822,2025,2,2
137-236-161-729-564,2025,4,0
138-596-562-272-265,2025,2,0
139-356-394-793-638,2025,1,0
141-022-556-403-762,2025,1,1
143-663-408-372-338,2025,1,1
143-886-903-521-810,2025,1,0
145-279-241-062-915,2025,1,1
146-447-281-995-847,2025,1,0
146-974-763-128-302,2025,5,0
147-996-010-939-999,2025,2,0
150-387-948-818-981,2025,1,0
151-914-811-789-874,2025,2,1
152-438-550-135-160,2025,1,0
156-516-377-936-867,2025,1,1
156-654-530-128-483,2025,1,0
157-051-593-123-712,2025,1,0
164-438-578-579-017,2025,2,0
165-430-988-226-791,2025,1,0
166-642-097-444-315,2025,1,0
169-630-025-054-730,2025,1,0
169-671-488-836-115,2025,1,0
170-359-026-633-777,2025,2,1
170-402-888-144-206,2025,2,0
174-684-974-035-51X,2025,2,0
180-760-084-952-462,2025,1,0
181-220-275-919-453,2025,1,0
182-183-717-466-743,2025,2,0
182-356-690-995-524,2025,1,0
182-404-427-054-851,2025,1,0
182-732-207-456-894,2025,1,0
185-275-059-361-751,2025,1,0
186-740-458-584-351,2025,1,2
187-479-811-048-85X,2025,2,0
187-873-423-068-344,2025,1,0
193-692-885-328-854,2025,1,0
198-282-640-956-14X,2025,2,0
