document_id,year,family_size,citations
006-981-399-414-597,2023,1,2
011-643-780-694-507,2023,1,0
012-026-904-123-566,2023,1,1
024-089-330-121-732,2023,2,2
025-724-581-593-976,2023,1,3
025-939-343-070-852,2023,1,0
030-518-311-250-096,2023,1,2
034-465-777-551-527,2023,1,1
036-777-014-248-752,2023,2,2
038-685-157-163-312,2023,1,3
042-250-018-371-391,2023,2,3
042-507-916-624-531,2023,1,15
049-925-916-247-04X,2023,1,2
055-418-559-899-680,2023,1,1
056-048-801-980-745,2023,2,2
071-511-446-264-060,2023,2,2
076-029-789-899-718,2023,2,7
077-605-717-440-413,2023,2,10
082-070-284-421-892,2023,2,1
083-510-294-552-338,2023,2,7
090-255-001-275-014,2023,2,3
090-861-090-520-148,2023,2,2
093-789-531-476-417,2023,2,0
098-558-204-477-424,2023,1,13
108-289-409-468-984,2023,2,12
114-857-793-715-694,2023,1,9
120-464-426-991-806,2023,2,4
122-464-491-926-974,2023,2,3
128-931-206-005-323,2023,2,0
138-716-234-589-400,2023,2,18
140-156-411-022-827,2023,1,0
146-496-934-689-945,2023,1,0
151-894-497-923-629,2023,2,9
152-695-922-748-775,2023,1,2
160-521-374-173-164,2023,1,2
165-333-298-759-131,2023,1,3
170-364-108-929-412,2023,4,9
175-929-739-645-042,2023,2,10
183-755-662-419-751,2023,2,2
184-263-606-473-257,2023,2,6
192-814-967-397-112,2023,1,0
193-153-226-241-496,2023,1,18
199-634-221-713-55X,2023,2,4
000-226-084-770-397,2024,2,0
000-548-265-313-867,2024,1,0
000-695-039-849-76X,2024,1,1
001-292-293-481-34X,2024,2,0
001-477-155-586-160,2024,1,0
002-001-750-143-172,2024,1,0
002-221-704-497-185,2024,1,0
003-374-425-436-615,2024,1,0
004-055-465-866-335,2024,2,0
004-446-929-727-981,2024,2,2
005-339-843-554-509,2024,1,1
005-527-339-767-829,2024,1,0
006-525-519-008-19X,2024,1,0
006-908-494-289-818,2024,3,0
008-378-585-780-44X,2024,1,3
009-080-468-776-315,2024,1,0
009-092-354-729-092,2024,1,2
009-362-387-487-015,2024,2,1
012-837-046-427-342,2024,1,1
012-839-864-262-34X,2024,1,0
014-344-571-398-452,2024,1,1
015-060-046-042-484,2024,1,9
016-145-402-842-517,2024,1,7
016-579-700-182-535,2024,1,3
016-886-345-037-527,2024,1,0
017-406-416-162-220,2024,2,3
018-343-979-044-560,2024,2,1
018-500-559-275-748,2024,1,1
019-981-890-569-777,2024,1,0
021-100-546-190-142,2024,2,1
021-651-240-182-618,2024,1,0
022-627-340-562-470,2024,1,1
025-183-323-233-020,2024,1,0
025-857-206-982-397,2024,1,0
026-176-203-437-628,2024,2,0
026-301-733-956-441,2024,1,0
026-610-309-686-330,2024,2,0
027-097-304-639-860,2024,1,7
028-038-979-788-596,2024,1,1
028-203-286-300-873,2024,1,0
028-366-119-575-489,2024,1,2
029-303-402-110-562,2024,1,2
029-667-707-570-428,2024,2,2
030-211-757-546-012,2024,1,0
030-325-177-898-236,2024,1,2
031-477-991-151-62X,2024,1,9
031-594-882-668-403,2024,1,2
031-835-301-861-219,2024,1,0
032-160-823-177-469,2024,1,0
032-530-081-400-590,2024,1,0
032-809-079-995-626,2024,1,0
033-108-206-424-047,2024,2,0
033-743-692-404-166,2024,2,2
034-013-663-908-017,2024,1,1
034-056-050-739-476,2024,1,0
035-500-882-308-462,2024,1,3
035-665-366-212-398,2024,2,1
035-948-969-313-446,2024,2,0
038-320-583-328-843,2024,1,0
038-387-115-319-598,2024,6,0
039-109-912-499-508,2024,1,0
039-671-145-314-67X,2024,2,1
039-674-555-407-127,2024,1,0
039-686-191-747-582,2024,2,2
040-931-813-871-636,2024,1,0
041-211-386-153-98X,2024,1,0
042-003-504-565-222,2024,1,1
043-075-540-613-649,2024,2,7
043-465-801-241-227,2024,1,1
044-383-200-219-38X,2024,2,0
044-391-473-910-328,2024,1,0
044-832-493-209-548,2024,1,0
044-903-534-344-232,2024,1,2
045-251-261-100-579,2024,1,3
046-479-207-100-049,2024,1,1
047-390-119-055-407,2024,1,1
047-597-690-384-611,2024,1,0
048-188-961-217-604,2024,1,2
048-404-215-238-968,2024,1,1
048-435-908-045-618,2024,1,0
048-596-167-711-288,2024,1,0
