document_id,year,family_size,citations
116-399-423-279-028,2013,2,0
004-596-812-487-869,2023,2,2
007-443-679-311-865,2023,1,0
054-490-318-905-592,2023,1,26
123-619-268-165-797,2023,1,3
139-819-391-420-084,2023,1,3
147-170-055-718-400,2023,1,3
162-484-892-928-507,2023,2,5
170-123-559-450-980,2023,1,1
178-082-365-816-81X,2023,2,2
179-743-941-897-374,2023,1,1
198-805-027-175-88X,2023,2,2
001-548-808-600-229,2024,1,5
005-043-613-484-688,2024,2,0
008-879-322-285-266,2024,2,1
010-271-449-984-589,2024,2,0
011-285-764-896-160,2024,3,1
015-791-036-856-862,2024,1,1
019-086-080-501-059,2024,1,0
026-607-353-209-710,2024,1,1
027-175-881-134-96X,2024,2,0
034-411-928-385-092,2024,1,0
042-162-928-125-835,2024,3,0
042-518-326-408-314,2024,2,2
044-809-139-224-993,2024,2,0
044-881-866-249-333,2024,1,1
047-873-760-351-953,2024,2,1
049-758-963-880-555,2024,2,0
063-554-494-925-951,2024,1,3
068-802-520-684-680,2024,1,4
074-266-008-917-589,2024,1,0
076-549-243-658-487,2024,1,0
078-318-116-413-203,2024,1,1
078-370-137-099-100,2024,1,0
078-379-356-559-26X,2024,1,0
078-823-423-499-497,2024,2,3
084-868-583-120-518,2024,1,0
087-535-987-245-505,2024,2,8
091-966-423-121-792,2024,3,4
092-607-502-628-278,2024,1,1
092-869-914-440-917,2024,1,0
096-801-521-400-193,2024,2,1
099-111-298-695-662,2024,1,0
101-225-528-517-841,2024,1,2
103-850-153-955-71X,2024,3,0
106-129-335-766-878,2024,1,2
116-834-588-741-851,2024,2,2
120-364-997-075-045,2024,1,0
121-040-138-467-505,2024,1,1
124-747-152-991-002,2024,2,1
125-079-899-769-341,2024,1,0
131-915-195-974-388,2024,3,17
135-228-659-966-601,2024,1,1
136-590-612-273-232,2024,2,0
146-058-061-629-037,2024,1,1
152-807-905-576-354,2024,1,4
153-999-633-775-485,2024,1,0
154-357-613-878-411,2024,1,2
166-957-117-058-152,2024,1,0
170-603-190-620-961,2024,2,5
170-704-745-063-066,2024,2,3
171-753-284-870-988,2024,1,0
173-266-287-810-125,2024,1,1
173-546-791-209-909,2024,2,0
183-267-120-958-205,2024,1,0
193-627-580-920-581,2024,2,9
196-862-309-731-475,2024,1,0
001-949-216-938-039,2025,1,0
002-831-388-388-11X,2025,1,3
005-269-505-518-811,2025,1,1
007-593-103-232-64X,2025,3,0
008-885-564-490-837,2025,2,0
010-994-089-996-947,2025,1,0
014-730-110-786-722,2025,2,0
016-131-152-336-197,2025,1,0
016-744-734-948-232,2025,1,3
018-418-780-571-172,2025,1,0
018-658-095-906-256,2025,2,0
021-675-904-279-129,2025,1,0
022-055-747-767-389,2025,6,0
023-653-038-296-787,2025,1,1
024-235-458-476-471,2025,1,0
026-328-358-315-967,2025,1,0
027-716-399-163-219,2025,1,2
028-187-772-712-77X,2025,1,1
029-496-753-114-681,2025,2,0
029-556-895-848-359,2025,1,0
030-102-045-299-591,2025,1,0
030-724-909-459-131,2025,1,0
032-919-353-954-825,2025,3,1
033-327-336-927-339,2025,2,0
033-410-649-193-37X,2025,2,0
034-734-946-192-266,2025,1,0
036-875-889-830-613,2025,1,1
040-057-767-171-189,2025,1,0
040-235-578-461-100,2025,1,0
041-372-018-407-269,2025,3,0
043-527-210-474-740,2025,1,0
044-068-632-112-543,2025,1,0
047-570-245-325-429,2025,3,1
048-855-554-398-168,2025,2,0
049-377-776-280-408,2025,2,1
050-155-268-863-49X,2025,1,0
052-291-277-464-238,2025,3,1
052-948-988-955-58X,2025,1,0
053-319-389-514-971,2025,2,1
053-468-256-319-231,2025,2,1
053-606-718-391-100,2025,1,1
053-670-427-795-929,2025,3,0
054-388-200-148-150,2025,1,0
055-421-260-114-217,2025,1,0
056-646-654-793-80X,2025,1,0
056-715-226-783-943,2025,1,0
057-426-400-643-061,2025,2,0
057-569-596-915-222,2025,1,0
061-613-991-362-963,2025,1,0
062-544-930-197-511,2025,3,1
063-158-352-402-720,2025,1,0
064-529-025-872-115,2025,1,0
065-345-303-582-637,2025,1,1
068-517-918-540-73X,2025,1,2
068-955-295-054-814,2025,1,0
070-140-914-539-736,2025,2,1
072-926-238-340-963,2025,2,8
074-044-122-282-050,2025,1,0
074-849-525-108-813,2025,3,0
076-224-584-968-939,2025,1,0
076-355-774-177-775,2025,1,1
081-461-782-237-010,2025,1,0
082-391-474-545-746,2025,1,2
082-898-828-683-920,2025,5,0
083-432-742-103-819,2025,2,0
083-644-306-642-247,2025,1,0
086-131-687-939-110,2025,1,0
087-461-053-572-968,2025,1,0
087-762-606-249-802,2025,1,0
088-003-728-728-317,2025,2,0
090-532-125-046-080,2025,2,0
094-025-558-864-90X,2025,1,0
095-648-138-468-561,2025,1,0
096-438-736-568-301,2025,1,1
096-893-283-478-219,2025,1,0
097-098-113-921-71X,2025,1,0
097-445-422-035-264,2025,1,0
100-684-922-953-496,2025,2,0
100-705-140-619-477,2025,1,0
102-863-676-394-508,2025,2,5
105-351-537-853-17X,2025,1,0
110-838-367-664-012,2025,1,0
111-150-765-245-711,2025,1,0
112-227-097-448-079,2025,1,0
112-626-472-997-933,2025,1,0
