document_id,year,family_size,citations
001-066-229-587-152,2023,1,3
050-075-851-817-896,2023,2,15
075-661-562-585-928,2023,1,4
099-127-510-264-971,2023,1,5
117-964-734-718-695,2023,3,12
121-590-993-183-868,2023,2,2
141-957-653-449-686,2023,1,1
191-144-017-507-844,2023,2,3
003-655-780-239-73X,2024,1,6
003-912-547-035-989,2024,1,1
006-529-960-937-924,2024,2,1
006-717-526-553-950,2024,1,1
006-921-344-588-536,2024,2,3
007-139-090-016-39X,2024,1,1
007-760-177-068-630,2024,2,2
007-996-534-587-158,2024,1,0
009-279-791-495-968,2024,1,9
009-776-351-743-662,2024,1,0
010-497-841-436-781,2024,1,0
015-957-481-013-449,2024,1,1
018-886-023-855-01X,2024,1,2
019-142-202-262-791,2024,2,2
019-191-408-076-362,2024,1,0
020-707-149-816-775,2024,2,2
021-225-589-602-820,2024,2,0
021-231-635-622-189,2024,1,1
021-403-114-325-136,2024,1,1
022-551-845-888-240,2024,1,8
025-038-872-398-628,2024,2,0
025-150-250-058-768,2024,1,0
025-958-228-529-588,2024,1,0
027-085-996-810-391,2024,2,5
032-189-666-977-428,2024,1,1
033-085-965-623-371,2024,1,1
033-983-309-043-525,2024,1,1
034-488-355-142-717,2024,1,1
036-894-107-796-929,2024,1,3
037-489-379-840-281,2024,1,5
037-806-901-828-530,2024,2,17
038-468-014-211-259,2024,1,1
039-511-006-974-325,2024,1,0
041-216-304-308-785,2024,1,1
041-699-066-608-262,2024,1,4
043-363-681-859-913,2024,2,1
043-456-847-719-201,2024,1,5
043-671-096-086-926,2024,1,1
044-188-764-306-231,2024,1,0
044-285-072-024-465,2024,1,0
044-872-938-067-287,2024,1,2
044-961-026-994-648,2024,2,1
046-081-244-698-537,2024,2,2
046-149-886-985-309,2024,1,1
046-638-198-223-308,2024,1,1
047-251-544-734-259,2024,2,5
050-323-051-453-481,2024,1,9
050-859-742-581-699,2024,1,4
052-751-879-043-785,2024,1,14
054-158-554-812-473,2024,2,2
057-153-505-581-062,2024,1,0
059-970-619-469-274,2024,1,3
060-643-435-050-847,2024,1,0
065-117-333-098-42X,2024,1,1
066-244-162-985-021,2024,2,2
068-077-491-986-33X,2024,2,0
068-203-159-107-692,2024,2,4
073-734-297-993-411,2024,2,0
074-281-330-371-460,2024,1,2
074-566-046-574-737,2024,1,0
075-480-116-442-350,2024,1,2
076-867-321-415-637,2024,2,2
077-003-415-119-968,2024,2,3
077-396-966-970-871,2024,1,0
078-733-069-515-634,2024,1,3
079-467-551-071-434,2024,1,2
079-630-518-083-916,2024,2,2
082-001-917-407-179,2024,2,3
084-087-814-125-550,2024,3,1
085-908-088-294-983,2024,2,1
086-055-996-465-455,2024,2,0
087-493-522-905-240,2024,1,4
091-623-605-246-153,2024,1,1
094-563-555-167-63X,2024,1,3
094-915-151-122-300,2024,2,6
096-286-485-408-070,2024,2,7
097-595-078-660-311,2024,2,4
100-801-401-247-457,2024,1,0
102-782-536-922-642,2024,2,1
104-713-784-767-235,2024,2,9
105-919-844-486-102,2024,2,11
106-006-682-013-870,2024,1,2
106-883-700-485-615,2024,1,1
107-718-969-859-234,2024,2,2
108-063-109-660-091,2024,1,4
110-231-282-628-855,2024,1,2
110-507-032-226-604,2024,2,1
114-075-379-233-239,2024,2,1
114-611-352-030-366,2024,1,0
115-683-991-875-276,2024,1,1
117-606-505-045-933,2024,1,6
118-222-533-126-611,2024,1,7
119-802-318-317-21X,2024,1,1
120-064-507-011-096,2024,2,1
120-779-892-139-393,2024,1,0
121-102-215-616-094,2024,1,0
121-440-839-686-519,2024,1,1
124-211-254-518-835,2024,2,0
127-035-775-948-266,2024,1,1
127-136-308-403-702,2024,1,1
128-927-337-758-606,2024,2,1
129-620-546-237-620,2024,2,1
