document_id,year,family_size,citations
111-834-188-940-366,2009,8,3
041-027-022-109-11X,2016,7,7
002-838-500-718-580,2023,2,11
010-009-891-929-394,2023,1,8
014-083-076-990-94X,2023,2,2
017-890-576-387-768,2023,2,5
031-562-932-078-078,2023,1,2
041-573-336-183-062,2023,1,1
055-329-932-977-321,2023,1,0
055-852-890-293-736,2023,2,1
059-615-137-034-183,2023,1,8
061-462-576-841-996,2023,2,0
067-160-097-142-682,2023,2,0
070-916-665-941-542,2023,1,1
073-385-898-026-387,2023,1,0
100-114-117-068-633,2023,2,0
108-871-334-374-580,2023,1,10
113-459-282-773-606,2023,1,2
121-196-732-082-852,2023,1,6
130-912-779-419-177,2023,1,10
135-035-458-951-779,2023,2,9
135-442-547-130-145,2023,1,8
143-887-565-700-692,2023,1,0
146-961-833-993-180,2023,1,3
151-056-701-449-141,2023,2,6
165-571-688-579-412,2023,1,4
173-330-898-311-476,2023,1,2
176-438-985-079-752,2023,2,17
177-590-994-287-185,2023,1,3
179-841-826-489-155,2023,2,1
186-047-724-861-804,2023,2,12
186-755-394-333-044,2023,1,1
196-171-131-172-430,2023,1,8
000-436-728-793-005,2024,2,1
002-278-153-001-135,2024,1,3
006-840-219-869-457,2024,2,0
007-940-321-381-76X,2024,2,0
009-478-314-386-680,2024,1,0
009-899-293-697-978,2024,1,1
011-733-862-184-964,2024,1,4
012-544-085-176-17X,2024,1,4
015-623-343-013-555,2024,1,0
016-801-893-279-169,2024,2,0
018-973-530-056-648,2024,1,4
020-446-013-627-390,2024,1,1
021-038-216-925-930,2024,2,1
021-367-978-460-022,2024,2,4
021-527-365-984-78X,2024,1,1
021-576-940-358-971,2024,1,1
022-322-800-692-288,2024,1,2
023-093-962-099-612,2024,2,1
025-730-634-144-56X,2024,1,0
027-514-517-280-614,2024,1,0
028-040-715-293-859,2024,1,2
028-471-383-332-376,2024,1,1
028-748-963-995-79X,2024,1,1
029-330-077-111-046,2024,1,3
029-376-238-507-636,2024,1,4
030-510-992-844-319,2024,1,0
031-670-825-182-222,2024,1,3
033-399-393-338-592,2024,1,3
034-515-281-722-399,2024,1,7
