document_id,year,family_size,citations
006-564-611-082-933,2023,2,4
018-384-544-646-862,2023,1,3
021-966-506-018-986,2023,2,0
032-385-357-399-394,2023,1,2
060-550-170-600-328,2023,1,0
074-850-664-965-784,2023,1,7
075-945-136-580-037,2023,1,8
084-223-903-899-949,2023,1,6
084-257-188-325-078,2023,1,1
107-210-101-722-13X,2023,2,8
107-407-778-045-600,2023,1,2
112-710-848-215-461,2023,1,0
129-043-444-194-685,2023,1,7
133-767-248-413-316,2023,1,2
136-597-721-597-780,2023,1,0
150-816-038-852-374,2023,1,4
194-988-087-380-85X,2023,1,5
197-963-333-985-781,2023,1,2
199-748-896-456-032,2023,1,0
002-062-699-875-552,2024,1,1
003-015-778-237-094,2024,1,1
005-581-019-425-085,2024,1,0
010-676-118-390-730,2024,1,1
012-637-554-411-930,2024,1,0
015-834-920-716-411,2024,1,3
016-412-484-848-122,2024,1,4
017-574-998-255-381,2024,1,0
019-660-990-545-994,2024,2,2
023-950-835-938-296,2024,1,0
024-274-664-557-16X,2024,1,1
024-646-521-384-577,2024,1,1
025-879-920-896-661,2024,2,0
026-376-723-504-050,2024,1,0
030-979-022-672-702,2024,2,2
036-571-234-157-189,2024,1,0
038-069-113-923-413,2024,1,1
038-368-066-292-400,2024,1,0
041-114-244-184-962,2024,1,0
044-659-511-464-854,2024,1,0
045-849-201-899-581,2024,1,0
046-224-676-582-816,2024,1,0
047-246-181-997-140,2024,1,1
049-439-846-583-06X,2024,1,0
049-527-883-100-418,2024,1,1
050-122-744-595-764,2024,1,0
054-366-091-091-02X,2024,1,0
060-578-758-636-019,2024,2,1
063-625-970-168-054,2024,2,2
064-160-999-480-26X,2024,1,1
069-804-688-569-219,2024,1,1
075-684-427-087-338,2024,1,0
079-302-537-446-505,2024,1,0
079-524-863-808-560,2024,1,3
080-094-020-773-425,2024,1,1
080-955-782-131-252,2024,2,0
081-841-310-682-911,2024,1,1
084-000-322-972-599,2024,1,0
084-332-845-655-286,2024,1,4
084-589-927-589-175,2024,1,1
084-693-970-473-178,2024,1,0
090-121-168-208-477,2024,1,1
091-270-309-346-407,2024,2,4
091-710-606-562-057,2024,1,2
091-958-240-903-329,2024,1,5
096-621-996-239-120,2024,1,1
097-487-746-494-50X,2024,1,3
098-497-599-238-80X,2024,1,0
100-989-849-613-520,2024,1,2
102-913-222-074-043,2024,2,0
104-806-829-615-423,2024,1,1
104-939-681-658-484,2024,1,0
105-381-612-960-715,2024,1,2
107-527-202-898-631,2024,1,3
108-332-188-922-231,2024,1,0
112-705-205-563-60X,2024,1,1
114-230-289-804-285,2024,1,1
115-354-873-940-981,2024,1,0
115-447-703-055-229,2024,1,1
115-460-314-380-235,2024,1,0
116-125-938-473-729,2024,1,0
116-919-391-844-251,2024,1,1
117-198-881-518-650,2024,2,0
120-031-742-841-179,2024,1,2
120-285-782-663-872,2024,1,1
120-321-513-622-437,2024,2,0
120-787-637-661-82X,2024,1,0
121-513-878-972-176,2024,2,1
125-094-918-054-567,2024,1,0
125-724-214-947-563,2024,1,2
128-302-914-121-147,2024,1,0
129-247-395-214-110,2024,2,1
130-111-251-708-499,2024,1,0
130-568-387-053-436,2024,1,1
132-025-002-618-400,2024,2,0
132-263-224-254-458,2024,1,3
133-107-550-634-853,2024,1,0
134-474-380-573-461,2024,1,1
134-839-642-503-682,2024,1,0
135-301-367-742-698,2024,1,1
138-579-304-322-982,2024,1,2
138-898-155-751-676,2024,1,0
139-740-753-313-437,2024,1,0
141-600-397-298-521,2024,1,3
147-085-552-085-695,2024,1,0
147-101-325-548-503,2024,1,7
148-548-200-553-111,2024,1,1
148-678-097-132-372,2024,1,0
149-144-557-795-83X,2024,1,3
150-235-800-488-223,2024,1,0
153-872-235-371-831,2024,1,0
154-586-829-400-168,2024,1,0
159-557-469-917-110,2024,1,2
159-645-261-959-805,2024,1,0
161-251-750-849-092,2024,1,0
162-265-697-597-44X,2024,2,4
166-404-656-026-15X,2024,1,2
166-553-803-248-81X,2024,2,0
166-717-408-713-134,2024,1,1
167-282-651-286-482,2024,2,0
167-726-560-588-973,2024,1,4
172-652-368-550-854,2024,1,0
174-123-255-212-065,2024,1,0
177-183-879-765-788,2024,1,0
180-605-997-460-489,2024,1,1
182-663-668-984-669,2024,1,2
183-362-032-447-54X,2024,2,1
190-256-022-849-240,2024,1,0
190-895-616-417-518,2024,1,0
191-032-717-194-07X,2024,1,1
192-006-403-516-600,2024,1,3
195-695-001-496-366,2024,1,0
195-937-933-991-630,2024,1,6
196-567-531-153-838,2024,1,1
197-055-353-788-749,2024,1,1
197-554-696-394-481,2024,1,0
001-200-635-146-592,2025,1,0
001-341-338-021-418,2025,1,0
003-482-877-641-757,2025,1,1
004-487-736-418-657,2025,1,0
005-772-022-540-983,2025,1,0
006-357-113-123-358,2025,1,0
006-828-945-985-346,2025,1,1
007-209-042-369-503,2025,1,0
007-463-286-401-366,2025,1,0
011-808-703-538-781,2025,2,0
012-088-689-478-690,2025,1,0
013-987-622-646-544,2025,1,0
014-024-701-244-193,2025,2,0
015-218-930-067-882,2025,1,0
015-777-582-680-736,2025,1,0
016-274-979-143-850,2025,1,0
016-601-807-654-473,2025,1,0
017-937-418-912-139,2025,1,0
019-604-707-717-580,2025,1,0
019-967-977-716-177,2025,2,0
020-457-972-811-840,2025,1,0
022-517-204-447-577,2025,1,0
022-762-792-642-676,2025,3,0
023-917-205-579-028,2025,1,0
024-902-201-865-195,2025,1,0
026-894-043-135-271,2025,1,0
028-363-027-300-097,2025,1,0
030-677-146-828-752,2025,1,0
030-790-638-438-288,2025,2,0
031-814-064-312-968,2025,2,1
032-813-573-566-976,2025,2,0
033-013-491-071-84X,2025,2,2
033-980-154-641-948,2025,1,0
034-200-709-352-178,2025,1,0
034-580-743-077-138,2025,1,1
035-789-960-409-710,2025,2,0
037-235-966-493-149,2025,1,1
039-506-305-128-907,2025,1,0
043-681-664-501-884,2025,1,0
044-189-501-448-777,2025,2,3
047-254-637-587-810,2025,1,0
047-493-938-293-646,2025,1,1
052-739-990-932-87X,2025,1,0
053-551-846-991-498,2025,1,0
053-610-385-568-343,2025,1,0
055-706-297-561-714,2025,1,0
055-950-536-831-940,2025,1,3
058-160-305-918-988,2025,1,0
061-617-935-222-331,2025,1,0
063-003-712-722-247,2025,2,0
063-397-234-568-269,2025,1,0
064-340-615-925-417,2025,1,0
065-977-257-725-582,2025,1,1
068-656-193-931-249,2025,1,0
069-423-639-567-445,2025,1,0
070-536-904-111-294,2025,1,0
070-544-363-420-915,2025,1,0
071-556-383-814-246,2025,1,0
076-809-093-244-200,2025,1,0
083-019-344-382-139,2025,1,0
083-523-555-808-120,2025,1,0
083-607-007-161-977,2025,1,0
084-263-531-095-347,2025,2,0
085-021-841-980-098,2025,2,0
085-718-816-318-836,2025,1,2
085-914-081-364-281,2025,2,0
090-411-495-842-69X,2025,2,0
092-272-970-463-310,2025,1,0
092-470-861-174-963,2025,1,0
092-981-662-161-611,2025,1,0
095-780-173-503-121,2025,1,0
099-339-369-142-821,2025,1,2
