document_id,year,family_size,citations
002-697-979-381-150,2023,1,3
003-478-447-226-949,2023,1,0
004-839-214-017-06X,2023,1,3
008-589-772-961-158,2023,1,1
020-236-067-008-223,2023,1,3
037-518-217-095-012,2023,2,13
039-882-994-353-809,2023,1,1
047-418-830-303-486,2023,2,3
051-157-620-716-655,2023,1,3
053-521-352-233-155,2023,2,3
062-031-695-574-693,2023,2,1
068-267-309-148-602,2023,1,1
082-772-302-519-954,2023,1,2
083-845-593-290-272,2023,1,2
117-394-947-423-311,2023,1,0
120-349-083-208-854,2023,2,8
121-635-969-981-866,2023,1,12
125-844-575-485-751,2023,2,1
133-358-103-892-662,2023,2,2
134-076-493-838-469,2023,2,0
135-387-949-303-871,2023,1,2
138-251-995-592-746,2023,1,4
138-536-973-206-401,2023,1,0
139-223-246-010-153,2023,2,4
139-323-250-331-505,2023,2,0
140-532-374-277-842,2023,1,1
143-915-849-805-600,2023,2,1
166-299-593-760-100,2023,1,10
172-523-097-237-91X,2023,1,2
174-208-891-369-680,2023,1,6
174-288-302-748-053,2023,2,4
189-722-910-501-795,2023,2,8
191-937-126-409-928,2023,2,4
192-299-009-424-494,2023,1,2
001-042-227-447-272,2024,1,1
001-117-259-031-822,2024,1,1
001-462-079-705-137,2024,2,0
001-573-675-755-298,2024,1,7
001-844-041-825-153,2024,1,1
002-481-361-098-449,2024,1,4
002-616-320-481-797,2024,2,0
003-105-124-042-537,2024,1,0
004-067-065-952-160,2024,1,3
005-002-707-670-827,2024,1,0
007-974-204-527-892,2024,1,1
008-479-378-715-381,2024,1,2
009-133-678-915-578,2024,1,1
011-443-908-829-620,2024,1,2
011-631-138-827-626,2024,1,1
012-234-809-115-96X,2024,1,4
012-326-953-186-306,2024,1,0
013-007-975-427-295,2024,1,0
014-183-508-535-202,2024,1,0
014-611-637-599-569,2024,2,2
015-232-372-041-901,2024,2,1
015-393-652-191-223,2024,1,0
015-992-141-031-214,2024,2,1
016-194-596-914-603,2024,2,1
016-207-398-041-135,2024,1,0
016-933-197-607-899,2024,2,3
017-137-026-470-727,2024,2,0
018-320-039-039-786,2024,1,0
018-661-038-134-250,2024,2,2
019-924-629-003-795,2024,1,3
020-443-792-254-71X,2024,1,1
021-051-424-956-105,2024,2,0
022-893-912-080-285,2024,1,1
023-279-449-642-931,2024,1,0
023-324-569-673-652,2024,1,0
023-466-264-604-078,2024,1,0
023-862-966-665-830,2024,1,4
024-746-540-596-91X,2024,1,0
026-772-232-265-483,2024,2,0
027-255-205-698-671,2024,1,1
029-306-738-450-740,2024,1,0
029-993-876-178-543,2024,1,3
031-166-644-422-685,2024,1,1
031-295-109-004-167,2024,1,0
032-586-464-865-072,2024,1,0
032-707-564-940-410,2024,1,9
032-895-471-399-996,2024,1,0
032-909-196-384-072,2024,2,1
032-990-805-433-636,2024,1,3
033-277-057-082-182,2024,1,2
033-460-384-297-522,2024,1,2
033-623-615-271-113,2024,2,2
035-899-166-875-850,2024,2,0
036-019-137-097-701,2024,1,3
036-336-921-663-219,2024,1,1
036-541-975-188-444,2024,1,0
036-680-113-841-622,2024,1,4
036-870-204-487-080,2024,1,4
037-714-695-321-262,2024,2,4
037-956-136-439-602,2024,1,1
038-583-780-887-841,2024,1,0
038-755-433-686-939,2024,1,1
039-322-056-313-119,2024,1,3
039-467-957-672-466,2024,1,0
039-734-088-384-377,2024,1,2
039-865-211-998-164,2024,1,0
040-197-260-413-059,2024,2,1
