document_id,year,family_size,citations
166-187-362-275-021,1998,2,0
019-464-807-689-319,2015,6,32
045-766-106-537-212,2015,6,3
057-040-431-020-383,2021,16,1
020-123-240-401-280,2023,1,5
032-782-692-528-500,2023,1,0
036-798-497-797-002,2023,1,1
043-640-472-803-203,2023,1,1
059-940-177-298-190,2023,2,14
089-082-828-886-413,2023,3,14
103-556-482-206-712,2023,1,1
111-789-230-319-056,2023,2,0
112-702-259-697-618,2023,2,2
122-413-816-728-23X,2023,2,6
144-373-029-538-706,2023,2,1
150-935-262-464-423,2023,1,1
157-912-674-329-888,2023,1,0
162-674-051-066-989,2023,2,2
167-290-462-436-621,2023,2,0
169-641-260-510-592,2023,1,1
000-956-296-589-80X,2024,1,0
001-385-303-260-261,2024,1,2
001-749-349-866-669,2024,2,4
001-773-173-956-491,2024,1,3
005-353-068-242-141,2024,1,1
006-479-348-395-492,2024,1,2
008-823-135-962-185,2024,1,0
010-176-317-457-714,2024,1,0
010-834-900-468-121,2024,1,0
011-057-318-916-366,2024,2,0
012-402-876-861-081,2024,1,4
013-459-561-021-989,2024,1,0
013-602-637-182-893,2024,1,0
016-248-081-521-57X,2024,2,0
018-325-580-930-318,2024,1,0
019-064-848-407-354,2024,2,1
021-272-248-684-719,2024,1,0
022-491-385-740-269,2024,1,6
022-653-929-205-141,2024,1,0
023-765-418-581-578,2024,1,1
025-330-391-429-225,2024,1,0
025-965-767-341-117,2024,1,1
028-813-504-045-742,2024,1,1
029-407-720-350-322,2024,1,3
030-256-530-831-440,2024,2,0
033-008-015-904-621,2024,1,1
033-455-612-237-032,2024,2,1
039-626-101-916-289,2024,2,0
050-661-223-155-010,2024,2,0
055-630-873-143-089,2024,2,0
056-682-105-070-017,2024,2,3
057-971-537-627-269,2024,1,1
059-787-017-269-624,2024,2,0
060-359-821-157-062,2024,1,1
063-150-633-495-912,2024,1,0
063-501-305-683-385,2024,1,0
064-480-259-579-881,2024,2,1
066-114-398-042-34X,2024,2,5
069-432-146-327-624,2024,1,3
069-968-815-369-297,2024,1,1
070-323-161-913-077,2024,1,1
072-597-653-541-143,2024,1,1
080-385-674-183-520,2024,1,0
081-484-906-370-043,2024,1,4
081-738-347-455-696,2024,1,1
081-852-218-721-248,2024,1,4
082-933-212-707-913,2024,1,2
087-515-660-537-647,2024,1,0
088-625-621-524-847,2024,1,1
088-741-682-044-212,2024,1,1
089-051-029-593-620,2024,1,2
089-353-948-838-821,2024,1,1
091-399-983-561-00X,2024,1,3
093-579-509-434-434,2024,1,0
093-944-166-045-033,2024,1,0
094-566-310-798-111,2024,1,2
097-487-227-559-527,2024,2,5
098-734-130-030-477,2024,1,1
100-100-849-222-299,2024,1,2
104-629-415-456-042,2024,1,0
105-480-482-486-990,2024,2,2
105-556-046-124-617,2024,2,0
106-454-064-416-25X,2024,2,2
106-970-040-433-961,2024,1,3
107-716-862-291-416,2024,1,8
108-844-935-764-089,2024,1,2
109-425-005-845-798,2024,2,0
110-636-173-787-238,2024,1,6
110-925-533-407-448,2024,1,0
113-196-150-185-544,2024,1,7
113-394-764-837-719,2024,1,2
118-111-072-460-091,2024,3,0
121-034-837-606-593,2024,2,0
122-314-457-489-738,2024,2,5
125-887-638-008-70X,2024,1,2
126-000-346-583-928,2024,2,3
126-045-496-215-177,2024,1,3
127-161-076-336-890,2024,1,1
127-761-351-649-269,2024,2,1
128-462-726-564-912,2024,1,1
129-725-311-266-241,2024,1,0
