document_id,year,family_size,citations
059-550-401-823-09X,2001,1,3
013-949-662-760-897,2023,1,1
033-869-704-144-538,2023,2,45
037-957-456-414-492,2023,2,2
038-827-929-541-100,2023,2,5
052-210-512-608-207,2023,1,2
060-714-007-425-839,2023,1,7
065-992-419-735-27X,2023,1,2
071-624-571-072-712,2023,1,0
077-978-277-893-225,2023,1,5
083-166-280-085-273,2023,1,0
088-816-116-129-207,2023,1,3
094-459-663-333-498,2023,1,1
107-610-019-214-016,2023,1,3
113-290-843-736-397,2023,2,10
114-578-410-711-732,2023,2,2
117-336-467-584-065,2023,1,3
117-726-440-234-413,2023,1,1
120-795-705-352-19X,2023,2,3
133-744-356-639-88X,2023,1,0
137-805-173-106-214,2023,1,28
138-651-981-262-36X,2023,2,3
148-002-096-684-466,2023,1,1
152-317-612-719-559,2023,2,8
166-402-436-698-254,2023,1,1
176-069-205-699-352,2023,1,2
176-765-094-951-605,2023,2,4
181-701-086-590-625,2023,1,7
189-952-732-035-536,2023,1,14
194-205-021-130-651,2023,1,7
197-312-120-458-049,2023,2,1
000-002-564-813-074,2024,1,0
000-474-498-843-608,2024,1,0
001-462-799-476-23X,2024,1,0
002-938-163-575-15X,2024,1,1
003-087-202-341-983,2024,1,3
004-350-999-671-542,2024,1,0
004-999-185-728-905,2024,1,5
005-835-373-241-323,2024,1,1
006-798-309-192-316,2024,2,2
008-526-833-983-054,2024,3,0
009-058-811-791-969,2024,1,0
009-367-453-529-002,2024,1,1
010-208-938-810-051,2024,2,0
011-422-798-866-988,2024,1,1
012-289-794-124-334,2024,1,1
013-462-438-006-123,2024,1,2
016-494-132-614-762,2024,1,0
018-468-045-465-600,2024,2,4
018-736-908-720-573,2024,2,0
019-402-991-823-608,2024,1,3
020-156-743-315-385,2024,1,3
020-627-835-662-593,2024,1,0
020-878-366-619-483,2024,2,1
021-664-115-845-323,2024,2,0
021-702-870-276-042,2024,2,1
021-840-458-409-89X,2024,1,5
024-050-226-998-050,2024,1,0
025-591-511-213-337,2024,1,0
026-298-075-065-924,2024,1,0
026-732-269-402-262,2024,2,0
027-443-981-226-894,2024,2,1
028-004-733-265-773,2024,1,2
030-236-616-194-771,2024,1,2
030-305-737-693-960,2024,1,0
031-476-681-066-177,2024,2,3
031-857-000-457-80X,2024,2,3
033-069-692-270-506,2024,3,1
033-257-393-384-122,2024,1,0
034-271-513-228-368,2024,3,5
036-500-701-801-634,2024,2,3
036-744-754-804-549,2024,1,0
039-060-461-287-770,2024,1,11
039-291-271-711-049,2024,1,1
039-470-163-534-966,2024,1,9
040-284-336-789-673,2024,1,0
040-419-086-169-337,2024,1,1
041-403-531-476-520,2024,1,6
042-058-188-161-530,2024,1,1
042-217-766-424-482,2024,1,14
